sourceid,dstid,month,standard_deviation_travel_time,time_of_day,weekday,weeknum,weekend
0317,1267,2,142.65,16-19,4,8,0
1126,0638,2,114.06,19-00,4,8,0
0954,0422,2,208.47,10-16,2,7,0
0915,0928,3,30.76,00-07,2,13,0
0954,0422,3,103.31,10-16,0,10,0
1048,1299,2,20.14,10-16,0,6,0
1033,0133,2,192.04,10-16,5,9,1
1261,1198,2,64.01,16-19,3,9,0
1279,1018,2,196.07,16-19,3,9,0
0350,0033,3,139.31,16-19,1,10,0
0350,0033,2,133.86,16-19,3,7,0
1305,1300,2,5.54,19-00,0,7,0
0350,0033,1,68.17,16-19,3,4,0
1305,1300,1,73.68,19-00,0,4,0
0711,0370,1,105.88,00-07,4,5,0
1017,1129,1,163.87,00-07,2,1,0
1002,1279,1,184.26,00-07,2,1,0
1003,1269,1,134.87,00-07,2,1,0
1021,1089,1,251.94,00-07,2,1,0
1000,1299,1,172.87,00-07,2,1,0
0903,1163,1,62.24,10-16,5,4,1
0530,1242,2,173.24,10-16,2,9,0
0530,1242,3,170.73,10-16,0,12,0
0531,0116,1,93.38,16-19,5,1,1
0516,1285,2,485.36,19-00,3,7,0
1149,0151,3,15.81,19-00,2,13,0
1359,1188,3,84.25,16-19,5,10,1
1180,0231,2,60.32,10-16,6,8,1
1180,0231,3,113.31,10-16,4,11,0
1182,0211,3,218.81,10-16,4,11,0
0803,0171,2,150.54,19-00,4,9,0
0125,0475,1,123.25,16-19,6,1,1
1173,0301,3,173.44,10-16,4,11,0
0156,1287,3,137.02,10-16,2,11,0
0156,1287,1,127.2,10-16,4,5,0
0156,1287,2,114.72,10-16,4,8,0
1182,0211,2,63.71,10-16,6,8,1
0117,0555,1,168.22,16-19,6,1,1
1030,0029,2,74.35,00-07,6,7,1
1030,0029,1,60.03,00-07,6,4,1
0690,1034,2,62.83,19-00,4,6,0
0661,1324,2,209.43,19-00,4,6,0
0690,1034,1,44.79,19-00,4,3,0
0533,0026,1,141.21,10-16,2,1,0
0924,1117,2,241.48,10-16,4,9,0
0661,1324,1,133.52,19-00,4,3,0
0488,1094,1,55.23,19-00,1,3,0
0488,1094,2,216.28,19-00,1,6,0
1019,1193,1,224.15,19-00,4,5,0
1019,1193,2,290.93,19-00,4,8,0
1019,1193,3,68.2,19-00,2,11,0
0360,1200,2,535.34,00-07,2,9,0
0642,0035,2,60.25,16-19,6,5,1
0547,0011,1,24.36,10-16,2,2,0
0942,1332,1,317.91,16-19,2,1,0
0690,0488,1,188.02,10-16,0,5,0
1230,0482,3,568.45,16-19,0,11,0
1230,0482,2,189.01,16-19,2,8,0
0690,0488,2,177.1,10-16,0,8,0
1180,0827,1,214.64,16-19,3,1,0
1210,0682,1,43.89,16-19,2,5,0
0030,0365,3,273.63,19-00,4,10,0
1230,0482,1,290.15,16-19,2,5,0
1282,1002,1,30.76,10-16,0,4,0
0284,0584,3,86.53,16-19,4,11,0
0690,0488,3,88.35,10-16,5,10,1
0892,0891,2,70.86,19-00,4,8,0
0896,0851,1,87.14,19-00,4,5,0
0896,0851,2,81.66,19-00,4,8,0
0896,0851,3,44.84,19-00,2,11,0
0892,0891,3,33.76,19-00,2,11,0
0892,0891,1,81.16,19-00,4,5,0
0993,0927,3,70.47,00-07,4,10,0
0994,0917,2,53.66,00-07,6,7,1
0410,0635,2,111.75,10-16,1,6,0
0994,0917,3,176.11,00-07,4,10,0
0994,0917,1,59.8,00-07,6,4,1
0995,0907,1,96.56,00-07,6,4,1
0993,0927,2,66.76,00-07,6,7,1
0993,0927,1,40.56,00-07,6,4,1
0640,1123,1,115.26,10-16,0,5,0
0810,0331,1,217.55,00-07,3,3,0
1298,1345,2,238.98,16-19,2,7,0
0802,0411,1,40.24,00-07,3,3,0
0810,0331,2,83.5,00-07,3,6,0
0259,1083,2,61.25,10-16,2,6,0
0259,1083,1,55.17,10-16,2,3,0
1006,0314,1,57.42,10-16,1,3,0
1006,0314,2,79.92,10-16,1,6,0
1002,0354,1,93.34,10-16,1,3,0
0827,1295,2,28.48,10-16,6,7,1
0827,1295,1,45.02,10-16,6,4,1
0827,1295,3,59.08,10-16,4,10,0
1176,0378,3,120.94,10-16,3,10,0
1152,1122,2,86.25,19-00,4,7,0
0272,0010,1,71.13,00-07,6,1,1
0197,0365,2,132.41,00-07,2,6,0
1156,0735,1,54.86,00-07,4,2,0
0175,1231,2,60.57,10-16,5,5,1
0175,1231,1,111.87,10-16,5,2,1
0190,1081,2,32.05,10-16,5,5,1
0248,1361,3,55.96,16-19,4,11,0
0248,1361,2,25.88,16-19,6,8,1
0762,0547,1,152.61,16-19,1,5,0
1023,0729,1,62.27,19-00,5,4,1
1034,0619,3,48.34,19-00,3,10,0
0226,1188,2,100.29,07-10,4,9,0
1148,1248,2,191.62,16-19,5,9,1
1023,0729,3,80.03,19-00,3,10,0
0938,0001,3,103.53,07-10,4,11,0
1055,0409,3,35.84,19-00,3,10,0
1176,0378,1,164.41,10-16,5,4,1
1346,1304,2,95.88,07-10,4,9,0
1055,0409,2,79.29,19-00,5,7,1
1260,0160,1,168.03,07-10,1,4,0
1221,0550,2,136.78,07-10,1,7,0
1216,0600,2,88.56,07-10,1,7,0
1063,0329,2,55.38,19-00,5,7,1
1034,0619,2,165.41,19-00,5,7,1
1260,0160,2,88.97,07-10,1,7,0
0083,0383,1,64.54,19-00,1,5,0
0828,0175,1,172.69,10-16,4,1,0
0817,0285,1,89.37,10-16,4,1,0
0827,1294,2,51.76,16-19,2,6,0
0298,1198,1,106.89,10-16,4,4,0
0298,1198,2,112.5,10-16,4,7,0
1073,0229,1,139.85,19-00,5,4,1
0365,0704,1,200.84,00-07,0,3,0
0365,0704,2,43.92,00-07,0,6,0
0298,1198,3,98.97,10-16,2,10,0
1034,0619,1,26.49,19-00,5,4,1
1221,0550,1,24.55,07-10,1,4,0
0468,0502,2,156.85,10-16,2,9,0
1218,0258,2,119.17,10-16,2,9,0
0422,0962,3,69.74,10-16,0,12,0
1147,0955,1,200.86,19-00,5,4,1
0711,0505,1,154.9,00-07,5,1,1
0740,0215,1,127.82,00-07,5,1,1
0741,0205,1,158.76,00-07,5,1,1
1176,0665,2,118.39,19-00,5,7,1
0790,0264,2,36.9,00-07,4,9,0
1179,0635,1,245.62,19-00,5,4,1
1023,0729,2,91.16,19-00,5,7,1
0230,0356,2,150.78,00-07,0,7,0
0230,0356,1,113.92,00-07,0,4,0
0250,0156,2,134.58,00-07,0,7,0
0857,1122,1,364.11,00-07,6,1,1
1055,0409,1,35.76,19-00,5,4,1
1184,0892,1,68.22,07-10,0,4,0
0037,0843,2,123.47,19-00,1,8,0
1184,0892,2,67.43,07-10,0,7,0
0460,0689,1,69.0,07-10,4,5,0
1147,0955,2,549.54,19-00,5,7,1
0174,1249,2,43.57,19-00,0,9,0
0174,1249,3,51.6,19-00,5,11,1
0759,0135,1,48.51,07-10,4,2,0
0376,1300,2,54.05,10-16,6,8,1
1156,0865,3,107.71,19-00,3,10,0
0720,0816,3,114.73,07-10,0,11,0
0755,0175,1,112.62,07-10,4,2,0
0175,0968,1,155.71,10-16,2,4,0
1060,0359,2,85.33,19-00,5,7,1
1156,0865,1,26.09,19-00,5,4,1
0491,0272,2,82.11,10-16,2,9,0
1182,1056,2,129.37,00-07,0,8,0
1180,1076,3,171.06,00-07,5,10,1
1182,1056,3,119.39,00-07,5,10,1
1183,1046,1,146.85,00-07,0,5,0
1146,0965,3,81.26,19-00,3,10,0
1182,1056,1,95.73,00-07,0,5,0
0762,0360,1,89.21,16-19,3,4,0
1183,1046,3,45.03,00-07,5,10,1
1179,0635,2,107.99,19-00,5,7,1
0424,0942,2,96.59,10-16,2,9,0
1183,1046,2,73.05,00-07,0,8,0
0782,0160,2,362.51,16-19,3,7,0
1156,0865,2,39.44,19-00,5,7,1
1156,1316,3,175.09,00-07,5,10,1
1149,0175,2,132.7,07-10,4,9,0
1146,0965,2,67.75,19-00,5,7,1
0491,0272,3,58.9,10-16,0,12,0
0496,0222,2,43.85,10-16,2,9,0
0156,1299,2,262.8,16-19,3,9,0
0285,0253,2,109.41,00-07,5,9,1
0777,0583,3,65.79,00-07,6,11,1
0674,1149,1,161.94,19-00,2,5,0
0383,0030,1,127.56,00-07,5,1,1
0685,0679,1,93.01,19-00,5,1,1
0653,1359,1,50.51,19-00,2,5,0
0391,1143,2,117.29,00-07,5,8,1
0677,0759,1,2289.11,19-00,5,1,1
0228,0823,2,48.16,00-07,5,9,1
0272,0383,2,49.42,00-07,5,9,1
0390,1153,2,55.21,00-07,5,8,1
0666,1229,2,84.29,19-00,2,8,0
0666,1229,1,58.61,19-00,2,5,0
0666,1229,3,127.46,19-00,0,11,0
0562,0350,2,73.45,10-16,5,7,1
0562,0350,3,79.13,10-16,3,10,0
0631,0423,3,141.29,10-16,6,9,1
